source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,87,University of Miami Leonard M. Miller School of Medicine,University of Miami Leonard M. Miller School of Medicine,,,,3.85,3.85,516,516,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,88,University of Michigan Medical School,University of Michigan Medical School,,,,3.85,3.85,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,89,University of Mississippi School of Medicine,University of Mississippi School of Medicine,,,,3.8,3.8,506,506,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,90,University of Missouri-Columbia School of Medicine,University of Missouri-Columbia School of Medicine,,,,3.84,3.84,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,91,University of New Mexico School of Medicine,University of New Mexico School of Medicine,,,,3.75,3.75,507,507,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,92,University of North Carolina at Chapel Hill School of Medicine,University of North Carolina at Chapel Hill School of Medicine,,,,3.79,3.79,514,514,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,93,University of Oklahoma College of Medicine,University of Oklahoma College of Medicine,,,,3,3,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,94,University of Ottawa Faculty of Medicine,University of Ottawa Faculty of Medicine,,,,3.74,3.74,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,95,University of Pittsburgh School of Medicine,University of Pittsburgh School of Medicine,,,,3.91,3.91,516,516,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,96,University of Puerto Rico School of Medicine,University of Puerto Rico School of Medicine,,,,3.8,3.8,506,506,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,97,University of Rochester School of Medicine and Dentistry,University of Rochester School of Medicine and Dentistry,,,,3.43,3.43,517,517,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,98,University of Saskatchewan College of Medicine,University of Saskatchewan College of Medicine,,,,,,507,507,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,99,University of South Carolina School of Medicine Columbia,University of South Carolina School of Medicine Columbia,,,,3.77,3.77,508,508,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,100,University of South Carolina School of Medicine Greenville,University of South Carolina School of Medicine Greenville,,,,,,509,509,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,101,University of Tennessee Health Science Center College of Medicine,University of Tennessee Health Science Center College of Medicine,,,,3.83,3.83,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,102,University of Texas Medical Branch School of Medicine,University of Texas Medical Branch School of Medicine,,,,3.8,3.8,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,103,University of Texas Southwestern Medical School,University of Texas Southwestern Medical School,,,,3.89,3.89,516,516,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,104,University of Toronto Faculty of Medicine,University of Toronto Faculty of Medicine,,,,3.94,3.94,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,105,University of Virginia School of Medicine,University of Virginia School of Medicine,,,,3.85,3.85,518,518,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,106,University of Wisconsin School of Medicine and Public Health,University of Wisconsin School of Medicine and Public Health,,,,3.78,3.78,511,511,,,
