school_id,school_name,degree_type,state_abbrev,school_website,candidate_source_url,candidate_source_title,candidate_source_type,source_status,official_domain_status,official_domain_score,official_match_reason,discovery_method,search_query,discovered_at,last_checked,fetch_status,review_status,notes
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,PA,https://lecom.edu/academics/the-college-of-medicine/,https://lecom.edu/academics/the-college-of-medicine/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LECOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,DO,FL,https://lecom.edu/college-of-osteopathic-medicine/jacksonville-fl/,https://lecom.edu/college-of-osteopathic-medicine/jacksonville-fl/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LECOM-Jacksonville"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,Lake Erie College of Osteopathic Medicine – Seton Hill,DO,PA,https://lecom.edu/academics/the-college-of-medicine/,https://lecom.edu/academics/the-college-of-medicine/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LECOM-Seton Hill"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lucom_liberty_university_college_of_osteopathic_medicine_lynchburg_virginia,Liberty University College of Osteopathic Medicine,DO,VA,http://www.liberty.edu/lucom/,http://www.liberty.edu/lucom/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LUCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,DO,TN,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LMU-DCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Knoxville,DO,TN,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LMU-DCOM Knoxville"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,DO,FL,https://www.lmunet.edu/debusk-college-of-osteopathic-medicine/do/dcom-in-orange-park/,https://www.lmunet.edu/debusk-college-of-osteopathic-medicine/do/dcom-in-orange-park/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""LMU-DCOM – Orange Park"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,DO,IN,http://www.marian.edu/osteopathic-medical-school,http://www.marian.edu/osteopathic-medical-school,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MU-WCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,MD,https://msom.org/,https://msom.org/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MSOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,MI,http://www.com.msu.edu/,http://www.com.msu.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MSUCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,MI,http://www.com.msu.edu/Students/Resources/DMC.htm,http://www.com.msu.edu/Students/Resources/DMC.htm,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MSUCOM-DMC"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_msucom_muc_michigan_state_university_college_of_osteopathic_medicine_macomb_mich,Michigan State University College of Osteopathic Medicine,DO,MI,http://www.com.msu.edu/Students/Resources/Macomb.htm,http://www.com.msu.edu/Students/Resources/Macomb.htm,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MSUCOM-MUC"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,AZ,https://www.midwestern.edu/#,https://www.midwestern.edu/#,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MWU/AZCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,IL,https://www.midwestern.edu/programs_and_admission/il_osteopathic_medicine.html,https://www.midwestern.edu/programs_and_admission/il_osteopathic_medicine.html,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""MWU/CCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
