source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,coursework_upward_transfer,coursework_accelerated,coursework_supplemental,coursework_additional_info,notes
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,14,90,463.756,CA,Stanford University School of Medicine,Stanford University School of Medicine,We accept coursework completed at a community college and will review these grades along with all other grades from a candidate's baccalaureate work as well as any postbaccalaureate or graduate coursework completed at the time of application.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,15,90,436.396,CA,"University of California, Davis, School of Medicine","University of California, Davis, School of Medicine",All community college coursework will be accepted and reviewed as part of the holistic admissions process.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,16,90,389.771,CA,"University of California, Irvine, School of Medicine","University of California, Irvine, School of Medicine","All college-level coursework will be considered, and applicants are allowed to take courses at a community college to fulfill prerequisite requirements. However, it's important to note that the fulfillment of the upper- division Biology course must be completed at a four-year institution and will not be accepted if taken at a community college.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,17,90,362.411,CA,"University of California, Los Angeles David Geffen School of Medicine","University of California, Los Angeles David Geffen School of Medicine",Community College coursework is accepted as a part of the total body of college academic work.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,18,90,305.131,CA,"University of California, Riverside School of Medicine","University of California, Riverside School of Medicine",We accept coursework completed at a community college to meet our required science core and recommended humanities core program pre-requisites. Detailed information about our minimum coursework requirements can be found here: https://somsa.ucr.edu/program-prerequisites,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,19,90,277.771,CA,"University of California, San Diego School of Medicine","University of California, San Diego School of Medicine","At the UCSD School of Medicine, we understand there are many valid reasons why an applicant would take coursework at a community college. Any and all community college coursework is accepted by our committee.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,20,90,241.803,CA,"University of California, San Francisco, School of Medicine","University of California, San Francisco, School of Medicine","We accept all coursework completed at a community college, provided it is from an accredited institution. Premedical students should pursue a four-year undergraduate curriculum and obtain a baccalaureate degree before entering medical school. A maximum of 105 quarter units can be transferred from a community college.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,21,90,214.443,CO,University of Colorado School of Medicine,University of Colorado School of Medicine,Coursework completed at a community college is reviewed in the context of the applicant's entire educational journey.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,22,90,178.474,CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Frank H. Netter MD School of Medicine at Quinnipiac University,All community college work that is included on a college transcript will be accepted for evaluation. * Please note that the admissions committee strongly prefers that the majority of pre-requisite courses be completed at 4 -year institutions.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,23,90,142.506,CT,University of Connecticut School of Medicine,University of Connecticut School of Medicine,"While it is not required, the Admissions Committee prefers to see prerequisite courses taken in person, at a 4- year school, during a regular semester, as part of a full course load. Understanding this may not be possible for all applicants, this is what the committee prefers to see.",,,,
