school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,stats_cohort_year,metric_population,metric_type,mcat_value,mcat_metric,gpa_value,gpa_metric,science_gpa_value,evidence_text,source_publication_date,source_last_checked,data_confidence,review_status,notes
md_boston_university_aram_v_chobanian_and_edward_avedisian_school_of_medicine_bosto,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MD,https://www.bumc.bu.edu/camed/admissions/application-process/selectionfactors/,Selection Factors | Chobanian & Avedisian School of Medicine,class_profile,bumc.bu.edu,official_school_domain,1.00,fetched,accepted,2025,matriculated students,official_published_median,517,median,3.84,median,,53% Women 21 States 30+ Hold Masters degrees Range in age 20-34 53 Undergraduate universities 89% Bilingual 10 Birth Countries 7 Resident Countries Summary of GPA and MCAT Scores Category GPA MCAT Mean 3.76 517 (94%) Median 3.84 517 (94%) 10th – 90th Percentile* 3.4– 4.0 512 – 522 (83% – 99%) *over 3 years of matriculated student data Related to Selection Factors Admissions Why Chobanian & Avedisian School of 53% Women 21 States 30+ Hold Masters degrees Range in age 20-34 53 Undergraduate universities 89% Bilingual 10 Birth Countries 7 Resident Countries Summary of GPA and MCAT Scores Category GPA MCAT Mean 3.76 517 (94%) Median 3.84 517 (94%) 10th – 90th Percentile* 3.4– 4.0 512 – 522 (83% ,,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2025. Fetched reviewed assisted-search official URL even though the path is not stats-shaped.
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,http://www.ecu.edu/bsomadmissions/,East Carolina University Brody School of Medicine,admissions_page,ecu.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,https://ppac.ecu.edu/advising/pre-professional/medicine/,Medicine | Center for Pre-Professional Advising | ECU,class_profile,ppac.ecu.edu,official_school_domain,1.00,fetched,accepted,2029,accepted students,official_published_mean,510,average,3.77,average,,"Applications accepted: June 1 – October 1 Enrolled students: 91 Average GPA of accepted students: 3.77 undergraduate, 3.69 graduate Average Science GPA of accepted students: 3.71 Average MCAT Score of accepted students: 510 Shadowing and volunteer work are important to admission committees. MCAT Prep One of our alumni put together a comprehensive list of MCAT Prep resources Arvind’s MCAT Prep Page Re , and Microbiology. Brody School of Medicine, Class of 2029 (entering 2025) Profile 2219 applications were received Applications accepted: June 1 – October 1 Enrolled students: 91 Average GPA of accepted students: 3.77 undergraduate, 3.69 graduate Average Science GPA of accepted students: 3.71 A",,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029. Fetched reviewed assisted-search official URL even though the path is not stats-shaped.
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,http://medicine.cnsu.edu/students-com/admissions,California Northstate University College of Medicine,admissions_page,medicine.cnsu.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,https://medicine.cnsu.edu/news/articles/2025-Welcome%20Class%20of%202029.php,Welcome Class of 2029 | College of Medicine CNU COM Home Page Header,annual_report,medicine.cnsu.edu,official_school_domain,1.00,fetched,accepted,2029,matriculated students,official_published_mean,513.3,average,3.83,average,,"ultimately matriculated. Among the enrolled students, 109 are from California, with 9 joining from out of state. The academic performance of the incoming class is outstanding. The average MCAT score is 513.3, while the average BCPM (biology, chemistry, physics, math) GPA stands at 3.78. The average overall GPA is slightly higher, at 3.83. Additionally, 11 percent of students enter the The academic performance of the incoming class is outstanding. The average MCAT score is 513.3, while the average BCPM (biology, chemistry, physics, math) GPA stands at 3.78. The average overall GPA is slightly higher, at 3.83. Additionally, 11 percent of students enter the program with graduate degrees, unders",,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029.
md_case_western_reserve_university_school_of_medicine_cleveland_ohio,Case Western Reserve University School of Medicine,MD,http://case.edu/medicine/admissions/,Case Western Reserve University School of Medicine,admissions_page,case.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_case_western_reserve_university_school_of_medicine_cleveland_ohio,Case Western Reserve University School of Medicine,MD,https://case.edu/medicine/anatomy/education/ms-applied-anatomy/students-and-alumni/class-profile,Class Profile | Anatomy | School of Medicine | Case Western Reserve University,class_profile,case.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,http://med.fau.edu/admissions/md/index.php,Florida Atlantic University Charles E. Schmidt College of Medicine,admissions_page,med.fau.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,http://med.fau.edu/medicine/md/admissions/entering-class/,Entering Class Profile,class_profile,med.fau.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,,,,,,,,,,,2026-06-08,,needs_review,HTTP Error 404: Not Found
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,https://www.fau.edu/medicine/md/admissions/entering-class/index.php,Entering M.D. Class Profile | College of Medicine | Florida Atlantic University,class_profile,fau.edu,official_school_domain,1.00,fetched,accepted,,matriculated students,official_published_mean,515,mean,3.85,mean,,"ition Purposes Technical Standards Courses Nutrition Education Residency Match Results Visiting Students & Electives Student Affairs Entering M.D. Class Profile Applications 4,165 Mean MCAT 515 Mean GPA 3.85 Mean BCPM 3.82 Number of Students with Graduate School 9% Number of Out-of-State Students 28% Number Matriculated 78 Additional Information The Charles E. Schmidt Co Technical Standards Courses Nutrition Education Residency Match Results Visiting Students & Electives Student Affairs Entering M.D. Class Profile Applications 4,165 Mean MCAT 515 Mean GPA 3.85 Mean BCPM 3.82 Number of Students with Graduate School 9% Number of Out-of-State Students 28% Number Matriculated 78 Additional Infor",,2026-06-08,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context.
md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,Chicago Medical School at Rosalind Franklin University of Medicine and Science,MD,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-program/how-to-apply/,How to Apply to the Chicago Medical School - Rosalind Franklin University,class_profile,rosalindfranklin.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,Chicago Medical School at Rosalind Franklin University of Medicine and Science,MD,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-programs/allopathic-medicine-md/class-profile/,Class Profile: Chicago Medical School - Rosalind Franklin University,class_profile,rosalindfranklin.edu,official_school_domain,1.00,fetched,accepted,2025,matriculated students,official_published_mean,508,average,3.69,average,,"the Chicago Medical School Allopathic Medicine (MD) - 2025 Entering Class Class Size 203 Number of AMCAS Applicants 11,985 GPA - Cumulative 3.69 GPA - Science 3.59 Entrance Exam (MCAT) 508 In-State Residents (based on permanent address) 44% Average Age (at matriculation) 24 Chicago Medical School About the School Degree Programs Residency & Fellowship Programs Resea ool Twitter for the Chicago Medical School Instagram for the Chicago Medical School Allopathic Medicine (MD) - 2025 Entering Class Class Size 203 Number of AMCAS Applicants 11,985 GPA - Cumulative 3.69 GPA - Science 3.59 Entrance Exam (MCAT) 508 In-State Residents (based on permanent address) 44% Average Age (at matriculation) 24",,2026-06-08,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context.
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,http://ps.columbia.edu/education/academic-programs/md-program/admissions/student-profiles,Student Profiles | Vagelos College of Physicians and Surgeons,class_profile,ps.columbia.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,2020,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,http://ps.columbia.edu/education/admissions,Columbia University College of Physicians and Surgeons,admissions_page,ps.columbia.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,https://www.vagelos.columbia.edu/education/academic-programs/md-program/admissions/student-profiles,Student Profiles | Vagelos College of Physicians and Surgeons,class_profile,vagelos.columbia.edu,official_school_domain_family,0.95,fetched,no_relevant_stats_found,2020,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,MD,http://www.rowan.edu/coopermed/students/admissions/,Cooper Medical School of Rowan University,admissions_page,rowan.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,MD,https://cmsru.rowan.edu/documents/about-documents/25-108-cmsru-fast-facts-2.pdf,25-108-cmsru-fast-facts-2.pdf,annual_report,cmsru.rowan.edu,official_school_domain,1.00,fetched,accepted,2029,matriculated students,official_published_mean,513,average,3.86,average,,"olled at CMSRU. Class of 2029 snapshot (as of August 2025) Applications received 4,619 Total students 118 New Jersey residents 84 Average overall GPA 3.86 Average science GPA 3.82 Average MCAT 513 Graduates of Rowan University 15 Students with advanced degrees 6 (4 MS and 2 MPH) First-generation graduates 7 (6%) Students who identify within underrepresented groups 15 (12%) their communities. Currently, 459 students are enrolled at CMSRU. Class of 2029 snapshot (as of August 2025) Applications received 4,619 Total students 118 New Jersey residents 84 Average overall GPA 3.86 Average science GPA 3.82 Average MCAT 513 Graduates of Rowan University 15 Students with advanced degrees 6 (4 MS and 2",,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029.
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,https://medschool.creighton.edu/medicine/programs/medicine-md/class-profile,Class Profile,class_profile,medschool.creighton.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,,,,,,,,,,,2026-06-08,,needs_review,HTTP Error 404: Not Found
