source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,27,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,,CA,DO,3.82,3.82,509,509,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,28,California Health Sciences University College of Osteopathic Medicine,California Health Sciences University College of Osteopathic Medicine,,CA,DO,3.45,3.45,504.1,504.1,498,498,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,29,University of Colorado School of Medicine*,University of Colorado School of Medicine,,CO,MD,3.7,3.7,517,517,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,30,Rocky Vista University College of Osteopathic Medicine,Rocky Vista University College of Osteopathic Medicine,,CO,DO,3.61,3.61,506,506,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,31,Quinnipiac University Frank H. Netter MD School of Medicine,Quinnipiac University Frank H. Netter MD School of Medicine,,CT,MD,3.70,3.7,511,511,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,32,University of Connecticut School of Medicine*,University of Connecticut School of Medicine,,CT,MD,3.76,3.76,513,513,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,33,Yale School of Medicine,Yale School of Medicine,,CT,MD,3.94,3.94,521,521,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,34,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,,DC,MD,3.88,3.88,515,515,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,35,Georgetown University School of Medicine,Georgetown University School of Medicine,,DC,MD,3.76,3.76,513,513,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,36,Howard University College of Medicine,Howard University College of Medicine,,DC,MD,3.61,3.61,507,507,494,494,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,37,Florida Atlantic University Charles E. Schmidt College of Medicine*,Florida Atlantic University Charles E. Schmidt College of Medicine,,FL,MD,3.83,3.83,513,513,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,38,Florida International University Herbert Wertheim College of Medicine*,Florida International University Herbert Wertheim College of Medicine,,FL,MD,3.82,3.82,510,510,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,39,Florida State University College of Medicine*,Florida State University College of Medicine,,FL,MD,3.68,3.68,507,507,498,498,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,40,University of Central Florida College of Medicine*,University of Central Florida College of Medicine,,FL,MD,3.89,3.89,514,514,500,500,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,41,University of Florida College of Medicine*,University of Florida College of Medicine,,FL,MD,3.86,3.86,515,515,500,500,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,42,University of Miami Miller School of Medicine,University of Miami Miller School of Medicine,,FL,MD,3.86,3.86,516,516,NR - (510 for 3-year accelerated path),510,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,43,University of South Florida Health Morsani College of Medicine*,University of South Florida Health Morsani College of Medicine,,FL,MD,3.96,3.96,520,520,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,44,Lake Erie College of Osteopathic Medicine Bradenton Campus,Lake Erie College of Osteopathic Medicine Bradenton Campus,,FL,DO,3.71,3.71,502,502,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,45,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,,FL,MD,3.75,3.75,512,512,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,46,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,,FL,DO,3.60,3.6,506,506,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,47,Emory University School of Medicine,Emory University School of Medicine,,GA,MD,3.70,3.7,514,514,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,48,Medical College of Georgia at Augusta University*,Medical College of Georgia at Augusta University,,GA,MD,3.80,3.8,512,512,NR,,source row carried an asterisk
