source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,27,University of Connecticut School of Medicine,University of Connecticut School of Medicine,http://medicine.uconn.edu/admissions/applying-to-the-md-or-md-mba-programs/,Connecticut,,3.82,3.82,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,28,Yale School of Medicine,Yale School of Medicine,http://medicine.yale.edu/education/admissions/,Connecticut,,3.93,3.93,MCAT - 521,521,MCAT - 521,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,30,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,http://smhs.gwu.edu/academics/md-program/admissions,District Columbia,,3.78,3.78,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,31,Georgetown University School of Medicine,Georgetown University School of Medicine,https://som.georgetown.edu/prospectivestudents/degrees/md,District Columbia,,3.79,3.79,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,32,Howard University College of Medicine,Howard University College of Medicine,https://medicine.howard.edu/admissions,District Columbia,,3.42,3.42,MCAT - 505,505,MCAT - 505,505,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,34,Florida Atlantic University Charles E. Schmidt College of Medicine,Florida Atlantic University Charles E. Schmidt College of Medicine,http://med.fau.edu/admissions/md/index.php,Florida,,3.8,3.8,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,35,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,https://medicine.fiu.edu/academics/degrees-and-programs/doctor-of-medicine/admissions/index.html,Florida,,3.79,3.79,MCAT - 511,511,MCAT - 511,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,36,Florida State University College of Medicine,Florida State University College of Medicine,http://med.fsu.edu/index.cfm?page=mdAdmissions.home&usemenu=prospectiveStudents,Florida,,3.76,3.76,MCAT - 508,508,MCAT - 508,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,37,University of Central Florida College of Medicine,University of Central Florida College of Medicine,https://med.ucf.edu/admissions/,Florida,,3.88,3.88,MCAT - 514,514,MCAT - 514,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,38,University of Florida College of Medicine,University of Florida College of Medicine,http://admissions.med.ufl.edu/,Florida,,3.9,3.9,MCAT - 515,515,MCAT - 515,515,
