source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,support_systems_for_gender_and_sexual_minority_students,notes
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,11,4,167.659,CA,Kaiser Permanente Bernard J. Tyson School of Medicine,Kaiser Permanente Bernard J. Tyson School of Medicine,"The Kaiser Permanente Bernard J. Tyson School of Medicine Outlist consists of students, faculty, and staff who identify as LGBTQ+. We envision the KPSOM Outlist as a tool to develop community amongst those who identify as LGBTQ+, and bring visibility to the LGBTQ+ members of our school ’ s community. We would like for the Outlist to generate connections, foster mentorship conversations, and celebrate the many LGBTQ+ contributors at our school.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,12,4,149.659,CA,Keck School of Medicine of the University of Southern California,Keck School of Medicine of the University of Southern California,,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,13,4,118.658,CA,Loma Linda University School of Medicine,Loma Linda University School of Medicine,"The University has an official club for LGBTQ students and a resource site that provides groups, mental health support, and a list of educational and community support resources for LGBTQ students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,14,8,518.661,CA,Stanford University School of Medicine,Stanford University School of Medicine,"LGBTQ Meds is dedicated to raising awareness of queer health issues and promoting equal social and political rights for lesbian, gay, bisexual, transgender and queer people. LGBTQ Meds serves as a support group, safe space, and social group for all medical students, undergraduates, faculty, and staff, regardless of sexual orientation or gender identity, who are interested in queer health issues. The Stanford Medicine curriculum includes 10 hours of specific LGBTQ+ Affirming Healthcare curriculum for medical students, with clinical rotation options for students and other trainees/fellows. Additionally, Vaden Health Services and The Weiland Health Initiative both offer LGBTQ+ specific student health and mental health resources aligning with WPATH Standards of Care. https://med.stanford.edu/lgbtqmeds.html https://stanfordhealthcare.org/medical-clinics/lgbtq-health.html https://med.stanford.edu/pride",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,15,8,442.661,CA,"University of California, Davis, School of Medicine","University of California, Davis, School of Medicine","UC Davis is committed to fostering a supportive environment that maximizes the educational experience of all medical students, including students from culturally and socioeconomically diverse backgrounds. The health system often hosts and or sponsors local, state and regional meetings of medical student organization's including Latino Medical Student Association, Filipino Americans in Medicine, Student National Medical Association, Lesbian, Gay, Bisexual and Transgender Students in Medicine. The mission of the Office of Student and Resident Diversity is to ensure the success of medical students from diverse backgrounds.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,16,8,420.661,CA,"University of California, Irvine, School of Medicine","University of California, Irvine, School of Medicine","The School of Medicine is committed to supporting students who identify as LGBTQIA through student services, student organizations, and community advocacy.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,17,8,335.660,CA,"University of California, Los Angeles David Geffen School of Medicine","University of California, Los Angeles David Geffen School of Medicine","The David Geffen School of Medicine offers an active Pride Alliance focused on a strong school-wide community that supports LGBTQ+ individuals and can meet the health needs of LGBTQ+ patients with compassionate and competent care. Pride Alliance is a support network for UCLA medical students, residents and faculty who identify as gay, lesbian, bisexual, transgender, intersex, queer, asexual, two-spirit, questioning, and allies. In addition to providing networking for students, staff, and faculty, the alliance also provides service in the community and advocacy for change. The UCLA LGBTQ Campus Resource Center also provides counseling, networking, education, and advocacy.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,18,8,295.660,CA,"University of California, Riverside School of Medicine","University of California, Riverside School of Medicine","Established in 1993, the LGBT Resource Center provides support, education, and advocacy regarding sexual orientation and gender identity/expression for the UC Riverside community and beyond. For additional information on campus support systems for gender and sexual minority students, please see: https://out.ucr.edu/",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,19,8,165.660,CA,"University of California, San Diego School of Medicine","University of California, San Diego School of Medicine","The support of our gender and sexual minority students starts in Orientation Week, which includes a session on our LGBTQ+ community. We offer guidance and fiscal support to our active LGBTQ student organization for well-attended, school-wide events, such as a “ Rainbow Pin Ceremony ”, Transgender Week of Visibility, and National Coming out Day, and attendance at an annual Southern California LGBTQ Conference. We help our students to create community with faculty and each other through events such as an annual Health Sciences LGBT mixer, and connect them with undergraduate campus LGBT resources. Our commitment to an inclusive and culturally humble community extends to our curriculum, which includes meaningful electives co-developed with students (an example of which is an “ Intersections of LGBTQ Health Elective ”), panel discussions by LGBQT health providers, and a Health Equity Thread in which all of our students learn about health inequities in sexual and gender minority communities.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,20,8,147.660,CA,"University of California, San Francisco, School of Medicine","University of California, San Francisco, School of Medicine",https://lgbt.ucsf.edu/welcome-lgbt-resource-center,
