school_id,school_name,degree_type,campus_name,state_abbrev,school_website,aacom_profile_url,aacom_profile_title,aacom_city,aacom_state_abbrev,aacom_slug,match_status,match_score,match_reason,discovery_method,source_last_checked,fetch_status,review_status,notes
do_iupcom_indiana_university_of_pennsylvania_college_of_osteopathic_medicine_indian,Indiana University of Pennsylvania College of Osteopathic Medicine,DO,IUPCOM,PA,https://www.iup.edu/academics/find-your-degree/programs/com/doctor-of-osteopathic-medicine.html,https://www.aacom.org/detail-pages/com/indiana-university-of-pennsylvania-college-of-osteopathic-medicine,Indiana University of Pennsylvania College of Osteopathic Medicine,Indiana,PA,indiana-university-of-pennsylvania-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.33
do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,KCU-COM,MO,https://www.kcumb.edu/,https://www.aacom.org/detail-pages/com/kansas-city-university-college-of-osteopathic-medicine,Kansas City University College of Osteopathic Medicine,Kansas City,MO,kansas-city-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,KCU-COM-Joplin,MO,http://www.kcumb.edu/about-kcu/joplin,https://www.aacom.org/detail-pages/com/kansas-city-university-college-of-osteopathic-medicine---joplin-campus,Kansas City University College of Osteopathic Medicine - Joplin Campus,Joplin,MO,kansas-city-university-college-of-osteopathic-medicine---joplin-campus,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.71
do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,DO,KansasCOM,KS,https://kansascom.kansashsc.org/,https://www.aacom.org/detail-pages/com/kansas-health-science-center-kansas-college-of-osteopathic-medicine,Kansas Health Science University-Kansas College of Osteopathic Medicine,Wichita,KS,kansas-health-science-center-kansas-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,LECOM-Bradenton,FL,https://lecom.edu/academics/the-college-of-medicine/,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine-bradenton,Lake Erie College of Osteopathic Medicine - Bradenton Campus,Bradenton,FL,lake-erie-college-of-osteopathic-medicine-bradenton,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,Lake Erie College of Osteopathic Medicine – Elmira,DO,LECOM-Elmira,NY,https://lecom.edu/academics/the-college-of-medicine/,https://www.aacom.org/detail-pages/com/lecom-at-elmira,Lake Erie College of Osteopathic Medicine at Elmira,Elmira,NY,lecom-at-elmira,safe_match,1.54,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.39
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,LECOM,PA,https://lecom.edu/academics/the-college-of-medicine/,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine,Lake Erie College of Osteopathic Medicine,Erie,PA,lake-erie-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,DO,LECOM-Jacksonville,FL,https://lecom.edu/college-of-osteopathic-medicine/jacksonville-fl/,https://www.aacom.org/detail-pages/com/lake-erie-college-of-osteopathic-medicine-at-jacksonville-university,Lake Erie College of Osteopathic Medicine at Jacksonville University,Jacksonville,FL,lake-erie-college-of-osteopathic-medicine-at-jacksonville-university,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,Lake Erie College of Osteopathic Medicine – Seton Hill,DO,LECOM-Seton Hill,PA,https://lecom.edu/academics/the-college-of-medicine/,https://www.aacom.org/detail-pages/com/lecom-at-seton-hill,Lake Erie College of Osteopathic Medicine at Seton Hill,,,lecom-at-seton-hill,safe_match,1.16,High-confidence AACOM profile match.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.08
do_lucom_liberty_university_college_of_osteopathic_medicine_lynchburg_virginia,Liberty University College of Osteopathic Medicine,DO,LUCOM,VA,http://www.liberty.edu/lucom/,https://www.aacom.org/detail-pages/com/liberty-university-college-of-osteopathic-medicine,Liberty University College of Osteopathic Medicine,Lynchburg,VA,liberty-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.24
