source_key,source_name,source_url,value_url,source_row_number,school_name_raw,school_name_clean,metric_context,gpa,mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.howard.edu/admissions,32,Howard University College of Medicine,Howard University College of Medicine,published school average GPA and MCAT,3.42,505,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.fau.edu/admissions/md/index.php,34,Florida Atlantic University Charles E. Schmidt College of Medicine,Florida Atlantic University Charles E. Schmidt College of Medicine,published school average GPA and MCAT,3.8,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.fiu.edu/academics/degrees-and-programs/doctor-of-medicine/admissions/index.html,35,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,published school average GPA and MCAT,3.79,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.fsu.edu/index.cfm?page=mdAdmissions.home&usemenu=prospectiveStudents,36,Florida State University College of Medicine,Florida State University College of Medicine,published school average GPA and MCAT,3.76,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://med.ucf.edu/admissions/,37,University of Central Florida College of Medicine,University of Central Florida College of Medicine,published school average GPA and MCAT,3.88,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://admissions.med.ufl.edu/,38,University of Florida College of Medicine,University of Florida College of Medicine,published school average GPA and MCAT,3.9,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://admissions.med.miami.edu/md-programs/general-md/,39,University of Miami Miller School of Medicine,University of Miami Miller School of Medicine,published school average GPA and MCAT,3.78,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://health.usf.edu/medicine/mdprogram/mdadmissions/,40,University of South Florida Health Morsani College of Medicine,University of South Florida Health Morsani College of Medicine,published school average GPA and MCAT,3.78,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.emory.edu/education/admissions/md/index.html,42,Emory University School of Medicine,Emory University School of Medicine,published school average GPA and MCAT,3.8,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.augusta.edu/mcg/admissions/,43,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,published school average GPA and MCAT,3.82,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.mercer.edu/admissions/md/,44,Mercer University School of Medicine,Mercer University School of Medicine,published school average GPA and MCAT,3.73,504,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.msm.edu/Admissions/doctorofmedicine.php,45,Morehouse School of Medicine,Morehouse School of Medicine,published school average GPA and MCAT,3.63,504,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://jabsom.hawaii.edu/ed-programs/md-program/admissions-program/,47,University of Hawaii John A. Burns School of Medicine,University of Hawaii John A. Burns School of Medicine,published school average GPA and MCAT,3.84,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-program/how-to-apply/,50,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School at Rosalind Franklin University of Medicine & Science,published school average GPA and MCAT,,513,parsed GPA outside expected range; excluded invalid GPA from comparison math: 374
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://ssom.luc.edu/admission/,51,Loyola University of Chicago Stritch School of Medicine,Loyola University of Chicago Stritch School of Medicine,published school average GPA and MCAT,3.76,512,
