school_id,school_name,degree_type,application_unit_type,parent_school_name,campus_name,city,state,state_abbrev,country_or_territory,website,source_name,source_url,source_page_updated,source_last_checked,source_acronym,accreditation_status,next_survey_date,initial_accreditation_year,campus_type_note,application_unit_assumption,active_in_universe,manual_exclusion_flag,exclusion_reason,research_stage,data_confidence,last_verified_date,notes,accepts_oos,accepts_international,accepts_canadian,accepts_daca,median_mcat,median_gpa,mcat_10th_percentile,mcat_90th_percentile,gpa_10th_percentile,gpa_90th_percentile,class_size,in_state_tuition_fees_insurance,out_state_tuition_fees_insurance,estimated_coa_in_state,estimated_coa_out_state,expected_scholarship,average_grad_indebtedness,home_residency_programs_notes,match_list_source_url,curriculum_source_url,tuition_source_url,admissions_source_url,admissions_mcat_fit_score,admissions_gpa_fit_score,admissions_oos_friendliness_score,admissions_mission_fit_score,admissions_research_fit_score,admissions_clinical_fit_score,admissions_probability_override,attendance_prestige_score,attendance_cost_score,attendance_location_score,attendance_match_outcomes_score,attendance_research_score,attendance_culture_score,attendance_curriculum_score,four_year_happiness_score,regret_index_score,national_mobility_score,debt_burden_score,hidden_curriculum_score,residency_goal_alignment_score,specialty_optionality_score,weather_score,social_life_score,dating_score,outdoor_activities_score,airport_access_score,cost_of_living_score,political_cultural_fit_score,family_access_score,Could I realistically see myself living here for 4 years? (1-10),ortho_strength_score,derm_strength_score,ent_strength_score,plastics_strength_score,neurosurgery_strength_score,ophtho_strength_score,academic_im_strength_score,academic_surgery_strength_score,true_pf_preclinical,internal_ranking,aoa_present,mandatory_attendance,recorded_lectures,avg_weekly_required_hours,wellness_reputation_score
do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,DO,DO school/site,Touro College of Osteopathic Medicine,TouroCOM-Harlem,New York,New York,NY,USA,http://tourocom.touro.edu/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,TouroCOM-Harlem,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,DO school/site,New York Institute of Technology College of Osteopathic Medicine,NYITCOM,Old Westbury,New York,NY,USA,https://www.nyit.edu/medicine,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,NYITCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,DO school/site,Campbell University Jerry M. Wallace School of Osteopathic Medicine,CUSOM,Buies Creek,North Carolina,NC,USA,http://www.campbell.edu/cusom/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,CUSOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,DO,DO school/site,Ohio University Heritage College of Osteopathic Medicine,OU-HCOM,Athens,Ohio,OH,USA,https://www.ohio.edu/medicine/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,OU-HCOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,DO,DO school/site,Ohio University Heritage College of Osteopathic Medicine,OU-HCOM-Cleveland,Cleveland,Ohio,OH,USA,https://www.ohio.edu/medicine/about/campuses/cleveland/index.cfm,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,OU-HCOM-Cleveland,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,DO,DO school/site,Ohio University Heritage College of Osteopathic Medicine,OU-HCOM-Dublin,Dublin,Ohio,OH,USA,https://www.ohio.edu/medicine/about/campuses/dublin/index.cfm,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,OU-HCOM-Dublin,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_osu_com_tahlequah_oklahoma_state_university_center_for_health_sciences_college_o,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine Tahlequah,DO,DO school/site,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,OSU-COM Tahlequah,Tahlequah,Oklahoma,OK,USA,,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,OSU-COM Tahlequah,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,DO school/site,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,OSU-COM,Tulsa,Oklahoma,OK,USA,https://health.okstate.edu/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,OSU-COM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_westernu_comp_northwest_western_university_of_health_sciences_college_of_osteopa,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,DO,DO school/site,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,WesternU/COMP-Northwest,Lebanon,Oregon,OR,USA,http://www.westernu.edu/northwest/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,WesternU/COMP-Northwest,COCA-accredited directory listing,,,AOA/COCA directory site row; parent program shown separately.,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,DO school/site,Lake Erie College of Osteopathic Medicine – Erie,LECOM,Erie,Pennsylvania,PA,USA,https://lecom.edu/academics/the-college-of-medicine/,AOA Osteopathic Medical Schools Directory,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,2026-05-29,2026-06-05,LECOM,COCA-accredited directory listing,,,AOA/COCA directory school/site row,Verify exact AACOMAS campus/application behavior before applying; keep separate because location may change fit and cost.,TRUE,FALSE,,unresearched,School/site identity and location source-verified from AOA directory map; scoring fields intentionally blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
