cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
12,Baylor,cycletrack_acceptance_median,1,single_source,3.97,3.97,,522,522,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Baylor,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,522,https://cycletrack.org/explorer/school/Baylor,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
13,Baylor College of Medicine,prospectivedoctor;shemmassian,2,close_agreement,3.93;3.92,3.92 - 3.93,0.01,518;518,518 - 518,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Baylor College of Medicine,published school average GPA and MCAT,3.93,518,https://www.bcm.edu/education/schools/medical-school/admissions,,Baylor College of Medicine,published school average GPA and MCAT,3.92,518,,,,,,,,,,,,,,
14,Belmont University,cycletrack_acceptance_median,1,single_source,3.9,3.9,,513.5,513.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Belmont University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,513.5,https://cycletrack.org/explorer/school/Belmont University,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
15,Boston University Sch of Med,cycletrack_acceptance_median;matchguy,2,major_conflict,3.76;3.91,3.76 - 3.91,0.15,517;520,517 - 520,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Boston University Sch of Med,published school average GPA and MCAT,3.76,517,,,Boston University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,520,https://cycletrack.org/explorer/school/Boston,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
16,Brown University,cycletrack_acceptance_median,1,single_source,3.9;3.91,3.9 - 3.91,0.01,517;518,517 - 518,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Brown University; Rowan University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9; 3.91,517; 518,https://cycletrack.org/explorer/school/Brown; https://cycletrack.org/explorer/school/Cooper Rowan,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
17,Brown University The Warren Alpert Medical School,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.79;3.83;3.76,3.76 - 3.83,0.07,515;516;516,515 - 516,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.79,515,https://www.brown.edu/academics/medical/admission/,,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.83,516,,,Brown University The Warren Alpert Medical School,published school average GPA and MCAT,3.76,516,,,,,,,,
18,Burrell College of Osteopathic Medicine,cycletrack_acceptance_median,1,single_source,3.67;3.7,3.67 - 3.7,0.03,504.5;508,504.5 - 508,3.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Burrell College of Osteopathic Medicine; Touro College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.67; 3.7,504.5; 508,https://cycletrack.org/explorer/school/Burrell COM; https://cycletrack.org/explorer/school/Touro - New York,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
19,Burrell College of Osteopathic Medicine at New Mexico State University,shemmassian,1,single_source,3.5,3.5,,500,500,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Burrell College of Osteopathic Medicine at New Mexico State University,published school average GPA and MCAT,3.5,500,,,,,,,,,,,,,,
20,California Health Sciences University,cycletrack_acceptance_median,1,single_source,3.75,3.75,,510.5,510.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,California Health Sciences University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.75,510.5,https://cycletrack.org/explorer/school/California Health Sciences,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
21,California Northstate University,cycletrack_acceptance_median,1,single_source,3.85,3.85,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,California Northstate University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,516,https://cycletrack.org/explorer/school/California Northstate,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
22,California Northstate University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.72;3.76;3.83;3.83,3.72 - 3.83,0.11,513;508;513.3;513.4,508 - 513.4,5.4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,California Northstate University College of Medicine; Florida State University College of Medicine,published school average GPA and MCAT,3.72; 3.76,513; 508,http://medicine.cnsu.edu/students-com/admissions; http://med.fsu.edu/index.cfm?page=mdAdmissions.home&usemenu=prospectiveStudents,,California Northstate University College of Medicine,published school average GPA and MCAT,3.83,513.3,,,California Northstate University College of Medicine,published school average GPA and MCAT,3.83,513.4,,,,,,,,
