cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
45,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,prospectivedoctor;shemmassian,2,major_conflict,3;3.42,3 - 3.42,0.42,498,498,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,published school average GPA and MCAT,3,498,http://www.cdrewu.edu/com/CDU_UCLAMedicalStudentProgram/UndergraduateMedicalEducationPrograms,,Drew/UCLA Joint Medical Program Drew University of Medicine and Science,published school average GPA and MCAT,3.42,,,,,,,,,,,,,,,
46,Drexel University,cycletrack_acceptance_median,1,single_source,3.85,3.85,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Drexel University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,513,https://cycletrack.org/explorer/school/Drexel,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
47,Duke University,cycletrack_acceptance_median,1,single_source,3.9,3.9,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Duke University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,520,https://cycletrack.org/explorer/school/Duke,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
48,Duquesne University,cycletrack_acceptance_median,1,single_source,3.86,3.86,,508,508,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Duquesne University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.86,508,https://cycletrack.org/explorer/school/Duquesne University COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
49,East Carolina University,cycletrack_acceptance_median,1,single_source,3.89,3.89,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,East Carolina University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,515,https://cycletrack.org/explorer/school/East Carolina,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
50,East Carolina University Brody School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.71;3.88;3.77;3.8;3.8,3.71 - 3.88,0.17,509;509;510;511;511,509 - 511,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,East Carolina University Brody School of Medicine; West Virginia University School of Medicine,published school average GPA and MCAT,3.71; 3.88,509,http://www.ecu.edu/bsomadmissions/; http://medicine.hsc.wvu.edu/md-admissions/,,East Carolina University Brody School of Medicine; West Virginia University School of Medicine,published school average GPA and MCAT,3.77; 3.8,510; 511,,source row carried an asterisk,West Virginia University School of Medicine,published school average GPA and MCAT,3.8,511,,,,,,,,
51,East Tennessee State University,cycletrack_acceptance_median,1,single_source,3.94,3.94,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,East Tennessee State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.94,514,https://cycletrack.org/explorer/school/East Tennessee,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
52,East Tennessee State University Quillen College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.81;3.85;3.85,3.81 - 3.85,0.04,508;513;512.82,508 - 513,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,East Tennessee State University Quillen College of Medicine,published school average GPA and MCAT,3.81,508,http://www.etsu.edu/com/sa/admissions/,,East Tennessee State University Quillen College of Medicine,published school average GPA and MCAT,3.85,513,,source row carried an asterisk,East Tennessee State University James H. Quillen College of Medicine,published school average GPA and MCAT,3.85,512.82,,,,,,,,
53,Eastern Virginia Medical School,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.71;3.7;3.7;3.79,3.7 - 3.79,0.09,513;513;513;514.5,513 - 514.5,1.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Eastern Virginia Medical School,published school average GPA and MCAT,3.71,513,http://www.evms.edu/education/medical_programs/doctor_of_medicine/,,Eastern Virginia Medical School,published school average GPA and MCAT,3.7,513,,source row carried an asterisk,Eastern Virginia Medical School,published school average GPA and MCAT,3.7,513,,,Eastern Virginia Medical School,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.79,514.5,https://cycletrack.org/explorer/school/Eastern Virginia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
54,Edward Via College of Osteopathic Medicine (Carolinas),cycletrack_acceptance_median,1,single_source,3.77;3.85;3.81,3.77 - 3.85,0.08,505;507;507,505 - 507,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Edward Via College of Osteopathic Medicine (Carolinas); Edward Via College of Osteopathic Medicine (Louisiana); Edward Via College of Osteopathic Medicine (Virginia),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.77; 3.85; 3.81,505; 507,https://cycletrack.org/explorer/school/Edward Via - Carolinas; https://cycletrack.org/explorer/school/Edward Via - Louisiana; https://cycletrack.org/explorer/school/Edward Via - Virginia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
55,Edward Via College of Osteopathic Medicine - Auburn Campus,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.76;3.7;3.7;3.6;3.75,3.6 - 3.76,0.16,502;502;500;502;506.5,500 - 506.5,6.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Edward Via College of Osteopathic Medicine - Auburn Campus; Edward Via College of Osteopathic Medicine - Louisiana Campus; Edward Via College of Osteopathic Medicine - Carolinas Campus; Edward Via College of Osteopathic Medicine - Virginia Campus,published school average GPA and MCAT,3.76; 3.7; 3.6,502; 500,,,,,,,,,Edward Via College of Osteopathic Medicine (Auburn),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.75,506.5,https://cycletrack.org/explorer/school/Edward Via - Auburn,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
56,Emory University,cycletrack_acceptance_median,1,single_source,3.88,3.88,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Emory University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.88,517,https://cycletrack.org/explorer/school/Emory,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
57,Florida Atlantic University,cycletrack_acceptance_median,1,single_source,3.92,3.92,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Florida Atlantic University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,516,https://cycletrack.org/explorer/school/Florida Atlantic,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
58,Florida Atlantic University Charles E. Schmidt College of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.8;3.83;3.83,3.8 - 3.83,0.03,513;513;513,513 - 513,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Florida Atlantic University Charles E. Schmidt College of Medicine,published school average GPA and MCAT,3.8,513,http://med.fau.edu/admissions/md/index.php,,Florida Atlantic University Charles E. Schmidt College of Medicine,published school average GPA and MCAT,3.83,513,,source row carried an asterisk,Florida Atlantic University Charles E. Schmidt College of Medicine,published school average GPA and MCAT,3.83,513,,,,,,,,
59,Florida International University,cycletrack_acceptance_median,1,single_source,3.9,3.9,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Florida International University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,514,https://cycletrack.org/explorer/school/Florida International,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
60,Florida International University Herbert Wertheim College of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.79;3.82;3.82,3.79 - 3.82,0.03,511;510;510,510 - 511,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Florida International University Herbert Wertheim College of Medicine,published school average GPA and MCAT,3.79,511,https://medicine.fiu.edu/academics/degrees-and-programs/doctor-of-medicine/admissions/index.html,,Florida International University Herbert Wertheim College of Medicine,published school average GPA and MCAT,3.82,510,,source row carried an asterisk,Florida International University Herbert Wertheim College of Medicine,published school average GPA and MCAT,3.82,510,,,,,,,,
61,Florida State University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.92;3.68;3.83;3.83,3.68 - 3.92,0.24,517;507;514;514,507 - 517,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,The Ohio State University College of Medicine,published school average GPA and MCAT,3.92,517,https://medicine.osu.edu/education/md/admissions,,Florida State University College of Medicine; The Ohio State University College of Medicine,published school average GPA and MCAT,3.68; 3.83,507; 514,,source row carried an asterisk,Ohio State University College of Medicine,published school average GPA and MCAT,3.83,514,,,,,,,,
62,Geisel School of Medicine at Dartmouth,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.77;3.77;3.77,3.77 - 3.77,0,516;516;516,516 - 516,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Geisel School of Medicine at Dartmouth,published school average GPA and MCAT,3.77,516,http://geiselmed.dartmouth.edu/admissions/,,Geisel School of Medicine at Dartmouth,published school average GPA and MCAT,3.77,516,,,Geisel School of Medicine at Dartmouth,published school average GPA and MCAT,3.77,516,,,,,,,,
63,Geisinger Commonwealth School of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.76;3.81;3.81;3.88,3.76 - 3.88,0.12,512;513.06;513.06;517,512 - 517,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.76,512,https://tcmc.edu/admissions/md-admissions/,,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.81,513.06,,,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.81,513.06,,,Geisinger Commonwealth School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.88,517,https://cycletrack.org/explorer/school/Geisinger Commonwealth,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
64,George Washington University,cycletrack_acceptance_median,1,single_source,3.89,3.89,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,George Washington University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,517,https://cycletrack.org/explorer/school/George Washington,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
65,George Washington University School of Medicine and Health Sciences,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.78;3.94;3.74;3.88;3.88;3.7;3.8,3.7 - 3.94,0.24,513;521;512;515;519.5;511;515,511 - 521,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,George Washington University School of Medicine and Health Sciences; Washington University School of Medicine; University of Washington School of Medicine,published school average GPA and MCAT,3.78; 3.94; 3.74,513; 521; 512,http://smhs.gwu.edu/academics/md-program/admissions; https://medicine.wustl.edu/education/admissions/#medical-education; http://www.uwmedicine.org/education/md-program/admissions,,George Washington University School of Medicine and Health Sciences; Washington University School of Medicine; University of Washington School of Medicine,published school average GPA and MCAT,3.88; 3.7,515; 519.5; 511,,source row carried an asterisk,George Washington University School of Medicine and Health Sciences,published school average GPA and MCAT,3.8,515,,,,,,,,
66,Georgetown University,cycletrack_acceptance_median,1,single_source,3.92,3.92,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Georgetown University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,518,https://cycletrack.org/explorer/school/Georgetown,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
67,Georgetown University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.79;3.8;3.73;3.86;3.78;3.84;3.9;3.86;3.76;3.7;3.69;3.76;3.82;3.86;3.89;3.86;3.81;3.76;3.69;3.82,3.69 - 3.9,0.21,513;517;504;518;515;513;520;516;513;514;503;517;514;513;514;513;514.9;513;503;514,503 - 520,17,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Georgetown University School of Medicine; Emory University School of Medicine; Mercer University School of Medicine; Boston University School of Medicine; Tufts University School of Medicine; Creighton University School of Medicine; New York University School of Medicine; Stony Brook University School of Medicine,published school average GPA and MCAT,3.79; 3.8; 3.73; 3.86; 3.78; 3.84; 3.9,513; 517; 504; 518; 515; 520; 516,https://som.georgetown.edu/prospectivestudents/degrees/md; http://med.emory.edu/education/admissions/md/index.html; http://medicine.mercer.edu/admissions/md/; http://www.bumc.bu.edu/busm/admissions/degree-programs/md-program/; http://medicine.tufts.edu/Admissions.aspx; https://medschool.creighton.edu/program/Medicine-MD; http://www.med.nyu.edu/school/md-admissions; https://medicine.stonybrookmedicine.edu/admissions_SOM,,Georgetown University School of Medicine; Emory University School of Medicine; Mercer University School of Medicine; Boston University School of Medicine; Tufts University School of Medicine; Creighton University School of Medicine; Stony Brook University School of Medicine,published school average GPA and MCAT,3.76; 3.7; 3.69; 3.82; 3.86; 3.89,513; 514; 503; 517,,source row carried an asterisk,Creighton University School of Medicine; Emory University School of Medicine; Georgetown University School of Medicine; Mercer University School of Medicine; Tufts University School of Medicine,published school average GPA and MCAT,3.86; 3.81; 3.76; 3.69; 3.82,513; 514.9; 503; 514,,,,,,,,
68,Georgia Campus Philadelphia College of Osteopathic Medicine,shemmassian,1,single_source,,,,503,503,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Georgia Campus Philadelphia College of Osteopathic Medicine,published school average GPA and MCAT,,503,,,,,,,,,,,,,,
69,Hackensack Meridian School of Medicine,cycletrack_acceptance_median;shemmassian,2,minor_conflict,3.8;3.89,3.8 - 3.89,0.09,514;516,514 - 516,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Hackensack Meridian School of Medicine,published school average GPA and MCAT,3.8,514,,,,,,,,,Hackensack Meridian School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,516,https://cycletrack.org/explorer/school/Hackensack Meridian,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
70,Harvard Medical School,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.94;3.9;3.9;3.98,3.9 - 3.98,0.08,520;520.48;520.48;521,520 - 521,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Harvard Medical School,published school average GPA and MCAT,3.94,520,https://hms.harvard.edu/departments/admissions,,Harvard Medical School,published school average GPA and MCAT,3.9,520.48,,,Harvard Medical School,published school average GPA and MCAT,3.9,520.48,,,Harvard Medical School,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.98,521,https://cycletrack.org/explorer/school/Harvard,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
71,Hofstra Northwell School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.84;3.92,3.84 - 3.92,0.08,518;518,518 - 518,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Hofstra Northwell School of Medicine,published school average GPA and MCAT,3.84,518,http://medicine.hofstra.edu/admission/md/index.html,,Hofstra Northwell School of Medicine,published school average GPA and MCAT,3.92,518,,,,,,,,,,,,,,
72,Hofstra University,cycletrack_acceptance_median,1,single_source,3.95,3.95,,520.5,520.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Hofstra University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,520.5,https://cycletrack.org/explorer/school/Hofstra,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
73,Howard University,cycletrack_acceptance_median,1,single_source,3.76,3.76,,509.5,509.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Howard University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.76,509.5,https://cycletrack.org/explorer/school/Howard,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
74,Howard University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.42;3.75;3.61;3.76;3.76,3.42 - 3.76,0.34,505;512;507;512;512,505 - 512,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Howard University College of Medicine; Drexel University College of Medicine,published school average GPA and MCAT,3.42; 3.75,505; 512,https://medicine.howard.edu/admissions; http://drexel.edu/medicine/academics/md-program/md-program-admissions/,,Howard University College of Medicine; Drexel University College of Medicine,published school average GPA and MCAT,3.61; 3.76,507; 512,,,Drexel University College of Medicine,published school average GPA and MCAT,3.76,512,,,,,,,,
75,Icahn School of Medicine at Mount Sinai,prospectivedoctor;shemmassian,2,minor_conflict,3.87;3.81,3.81 - 3.87,0.06,519;519,519 - 519,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Icahn School of Medicine at Mount Sinai,published school average GPA and MCAT,3.87,519,http://icahn.mssm.edu/education/medical/admissions,,Icahn School of Medicine at Mount Sinai,published school average GPA and MCAT,3.81,519,,,,,,,,,,,,,,
76,Idaho College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.56;3.5;3.73;3.73;3.77;3.65;3.9;3.71,3.5 - 3.9,0.4,503.65;504;509;511;511;503.5;512;506,503.5 - 512,8.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Idaho College of Osteopathic Medicine; Noorda College of Osteopathic Medicine,published school average GPA and MCAT,3.56; 3.5,503.65; 504,,,,,,,,,Idaho College of Osteopathic Medicine; Illinois College of Osteopathic Medicine; Arizona College of Osteopathic Medicine; Noorda College of Osteopathic Medicine; Texas College of Osteopathic Medicine; Orlando College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.73; 3.77; 3.65; 3.9; 3.71,509; 511; 503.5; 512; 506,https://cycletrack.org/explorer/school/Idaho COM; https://cycletrack.org/explorer/school/Illinois COM; https://cycletrack.org/explorer/school/Midwestern - Arizona; https://cycletrack.org/explorer/school/Noorda; https://cycletrack.org/explorer/school/North Texas; https://cycletrack.org/explorer/school/Orlando COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
77,Indiana University,cycletrack_acceptance_median,1,single_source,3.95,3.95,,519,519,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Indiana University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,519,https://cycletrack.org/explorer/school/Indiana,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
78,Johns Hopkins University,cycletrack_acceptance_median,1,single_source,3.97,3.97,,522,522,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Johns Hopkins University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,522,https://cycletrack.org/explorer/school/Johns Hopkins,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
79,Kaiser Permanente,cycletrack_acceptance_median,1,single_source,3.95,3.95,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Kaiser Permanente,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,516,https://cycletrack.org/explorer/school/Kaiser Permanente,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
80,Kaiser Permanente Bernard J. Tyson School of Medicine,matchguy,1,single_source,3.78,3.78,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Kaiser Permanente Bernard J. Tyson School of Medicine,published school average GPA and MCAT,3.78,514,,,,,,,,
81,Kaiser Permanente School of Medicine,shemmassian,1,single_source,3.78,3.78,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Kaiser Permanente School of Medicine,published school average GPA and MCAT,3.78,514,,,,,,,,,,,,,,
82,Kansas City University,cycletrack_acceptance_median,1,single_source,3.8,3.8,,509,509,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Kansas City University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.8,509,https://cycletrack.org/explorer/school/Kansas City University COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
83,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,shemmassian,1,single_source,3.62,3.62,,505,505,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,published school average GPA and MCAT,3.62,505,,,,,,,,,,,,,,
84,Keck School of Medicine of the University of Southern California,matchguy,1,single_source,3.85,3.85,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Keck School of Medicine of the University of Southern California,published school average GPA and MCAT,3.85,517,,,,,,,,
85,Kentucky College of Osteopathic Medicine,cycletrack_acceptance_median,1,single_source,3.61,3.61,,504,504,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Kentucky College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.61,504,https://cycletrack.org/explorer/school/Kentucky COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
86,Lake Erie College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.41;3.79,3.41 - 3.79,0.38,503;509,503 - 509,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Lake Erie College of Osteopathic Medicine,published school average GPA and MCAT,3.41,503,,,,,,,,,Lake Erie College of Osteopathic Medicine (Erie),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,509,https://cycletrack.org/explorer/school/Lake Erie,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
87,Lake Erie College of Osteopathic Medicine Bradenton Campus,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.71;3.87,3.71 - 3.87,0.16,502;509,502 - 509,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Lake Erie College of Osteopathic Medicine Bradenton Campus,published school average GPA and MCAT,3.71,502,,,,,,,,,Lake Erie College of Osteopathic Medicine (Bradenton),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.87,509,https://cycletrack.org/explorer/school/Lake Erie - Bradenton,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
88,Liberty University,cycletrack_acceptance_median,1,single_source,3.79,3.79,,504,504,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Liberty University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,504,https://cycletrack.org/explorer/school/Liberty,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
89,Lincoln Memorial University,cycletrack_acceptance_median,1,single_source,3.71,3.71,,504,504,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Lincoln Memorial University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.71,504,https://cycletrack.org/explorer/school/Lincoln Memorial,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
90,Lincoln Memorial University DeBusk College of Osteopathic Medicine,shemmassian,1,single_source,3.4,3.4,,501,501,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Lincoln Memorial University DeBusk College of Osteopathic Medicine,published school average GPA and MCAT,3.4,501,,,,,,,,,,,,,,
91,Loma Linda University,cycletrack_acceptance_median,1,single_source,3.9,3.9,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Loma Linda University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,516,https://cycletrack.org/explorer/school/Loma Linda,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
92,Loma Linda University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.89;3.76;3.63;3.95;3.86;3.91;3.89;3.94;3.85;3.94;3.85;3.7;3.92;3.78;3.9;3.9;3.5;3.85;3.94;3.8;3.9;3.7;3.78,3.5 - 3.95,0.45,510;519;513;511;521;513;514;519;521;509;518;512;510;521;511;514;519;508;512;520;509;514;510,508 - 521,13,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Loma Linda University School of Medicine; Stanford University School of Medicine; Indiana University School of Medicine; Tulane University School of Medicine; Johns Hopkins University School of Medicine; Wayne State University School of Medicine; Saint Louis University School of Medicine; Duke University School of Medicine; Vanderbilt University School of Medicine,published school average GPA and MCAT,3.86; 3.89; 3.76; 3.63; 3.95; 3.91; 3.94,510; 519; 513; 511; 521; 514,http://medicine.llu.edu/admissions; http://med.stanford.edu/md-admissions.html; https://medicine.iu.edu/education/md/admissions/; http://www2.tulane.edu/som/admissions/index.cfm; http://www.hopkinsmedicine.org/som/admissions/md/; http://admissions.med.wayne.edu/; http://www.slu.edu/medicine/admissions; https://medschool.duke.edu/education/student-services/office-admissions; https://medschool.vanderbilt.edu/md-admissions/,,Loma Linda University School of Medicine; Stanford University School of Medicine; Indiana University School of Medicine; Tulane University School of Medicine; Johns Hopkins University School of Medicine; Wayne State University School of Medicine; Saint Louis University School of Medicine; Duke University School of Medicine; Vanderbilt University School of Medicine,published school average GPA and MCAT,3.85; 3.94; 3.7; 3.92; 3.78; 3.9; 3.5,509; 518; 512; 510; 521; 511; 514; 519; 508,,source row carried an asterisk,Indiana University School of Medicine; Johns Hopkins University School of Medicine; Loma Linda University School of Medicine; Saint Louis University School of Medicine; Stanford University School of Medicine; Tulane University School of Medicine; Wayne State University School of Medicine,published school average GPA and MCAT,3.85; 3.94; 3.8; 3.9; 3.7; 3.78,512; 520; 509; 514; 510,,,,,,,,
93,Louisiana State University (New Orleans),cycletrack_acceptance_median,1,single_source,3.9,3.9,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Louisiana State University (New Orleans),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,515,https://cycletrack.org/explorer/school/LSU - New Orleans,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
94,Louisiana State University (Shreveport),cycletrack_acceptance_median,1,single_source,3.94,3.94,,510.5,510.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Louisiana State University (Shreveport),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.94,510.5,https://cycletrack.org/explorer/school/LSU - Shreveport,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
