cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
67,Georgetown University School of Medicine,md_georgetown_university_school_of_medicine_washington_district_of_columbia,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.79;3.8;3.73;3.86;3.78;3.84;3.9;3.86;3.76;3.7;3.69;3.76;3.82;3.86;3.89;3.86;3.81;3.76;3.69;3.82,3.69 - 3.9,0.21,513;517;504;518;515;513;520;516;513;514;503;517;514;513;514;513;514.9;513;503;514,503 - 520,17,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
69,Hackensack Meridian School of Medicine,md_hackensack_meridian_school_of_medicine_nutley_new_jersey,cycletrack_acceptance_median;shemmassian,2,minor_conflict,3.8;3.89,3.8 - 3.89,0.09,514;516,514 - 516,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
70,Harvard Medical School,md_harvard_medical_school_boston_massachusetts,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.94;3.9;3.9;3.98,3.9 - 3.98,0.08,520;520.48;520.48;521,520 - 521,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
71,Hofstra Northwell School of Medicine,,prospectivedoctor;shemmassian,2,minor_conflict,3.84;3.92,3.84 - 3.92,0.08,518;518,518 - 518,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
74,Howard University College of Medicine,md_howard_university_college_of_medicine_washington_district_of_columbia,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.42;3.75;3.61;3.76;3.76,3.42 - 3.76,0.34,505;512;507;512;512,505 - 512,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
75,Icahn School of Medicine at Mount Sinai,md_icahn_school_of_medicine_at_mount_sinai_new_york_new_york,prospectivedoctor;shemmassian,2,minor_conflict,3.87;3.81,3.81 - 3.87,0.06,519;519,519 - 519,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
76,Idaho College of Osteopathic Medicine,do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.56;3.5;3.73;3.73;3.77;3.65;3.9;3.71,3.5 - 3.9,0.4,503.65;504;509;511;511;503.5;512;506,503.5 - 512,8.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
86,Lake Erie College of Osteopathic Medicine,do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.41;3.79,3.41 - 3.79,0.38,503;509,503 - 509,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
87,Lake Erie College of Osteopathic Medicine Bradenton Campus,do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.71;3.87,3.71 - 3.87,0.16,502;509,502 - 509,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
92,Loma Linda University School of Medicine,md_loma_linda_university_school_of_medicine_loma_linda_california,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.89;3.76;3.63;3.95;3.86;3.91;3.89;3.94;3.85;3.94;3.85;3.7;3.92;3.78;3.9;3.9;3.5;3.85;3.94;3.8;3.9;3.7;3.78,3.5 - 3.95,0.45,510;519;513;511;521;513;514;519;521;509;518;512;510;521;511;514;519;508;512;520;509;514;510,508 - 521,13,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
