applicant_profile_id,profile_name,profile_source,school_id,school_name,score_model,score_group,component_column,component_label,raw_applicant_value,raw_school_value,applicant_value_band,school_value_band,delta_value,delta_band,raw_context,normalized_score,component_weight,weight_basis,weighted_contribution,component_coverage_status,source_type,source_name,source_url,data_confidence,formula_note,missing_reason,warning
template_profile,Template Profile,public_template,do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,admissions_score,Score,,,,,,,Derived score from configured present components,,60,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present admissions components,no present admissions components,
template_profile,Template Profile,public_template,do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,attendance_score,Score,,,,,,,Derived score from configured present components,,25,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present attendance components,no present attendance components,
template_profile,Template Profile,public_template,do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,regret_index_score,Regret Index,,,,,,,Manual partner input projected through a 1-10 rubric,,15,present_components_only,,missing,missing,manual/partner_inputs.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,manual,1-10 manual rubric; higher means stronger fit or higher regret if skipped,component input missing,
template_profile,Template Profile,public_template,do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,admissions_score,Score,,,,,,,Derived score from configured present components,,60,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present admissions components,no present admissions components,
template_profile,Template Profile,public_template,do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,attendance_score,Score,,,,,,,Derived score from configured present components,,25,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present attendance components,no present attendance components,
template_profile,Template Profile,public_template,do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,regret_index_score,Regret Index,,,,,,,Manual partner input projected through a 1-10 rubric,,15,present_components_only,,missing,missing,manual/partner_inputs.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,manual,1-10 manual rubric; higher means stronger fit or higher regret if skipped,component input missing,
template_profile,Template Profile,public_template,do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,admissions_score,Score,,,,,,,Derived score from configured present components,,60,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present admissions components,no present admissions components,
template_profile,Template Profile,public_template,do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,attendance_score,Score,,,,,,,Derived score from configured present components,,25,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present attendance components,no present attendance components,
template_profile,Template Profile,public_template,do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,Scenario: Admissions Realist,Admissions Realist,regret_index_score,Regret Index,,,,,,,Manual partner input projected through a 1-10 rubric,,15,present_components_only,,missing,missing,manual/partner_inputs.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,manual,1-10 manual rubric; higher means stronger fit or higher regret if skipped,component input missing,
template_profile,Template Profile,public_template,do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,Scenario: Admissions Realist,Admissions Realist,admissions_score,Score,,,,,,,Derived score from configured present components,,60,present_components_only,,missing,missing,user_preferences.csv,https://osteopathic.org/about/affiliated-organizations/osteopathic-medical-schools/,derived,weighted average of present admissions components,no present admissions components,
