severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_msucom_muc_michigan_state_university_college_of_osteopathic_medicine_macomb_mich,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_wcucom_william_carey_university_college_of_osteopathic_medicine_hattiesburg_miss,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_rvu_mcom_rocky_vista_university_montana_college_of_osteopathic_medicine_billings,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tourocom_great_falls_touro_college_of_osteopathic_medicine_great_falls_great_fal,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tuncom_touro_university_nevada_college_of_osteopathic_medicine_henderson_nevada,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_rowan_virtuasom_sewell_rowan_virtua_school_of_osteopathic_medicine_sewell_new_je,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_rowan_virtuasom_rowan_virtua_school_of_osteopathic_medicine_stratford_new_jersey,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_dyu_com_d_youville_university_college_of_osteopathic_medicine_buffalo_new_york,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
