source_table,source_row_number,source_school_name,source_state,source_degree_type,best_school_id,best_school_name,best_match_score,second_school_id,second_school_name,second_match_score,match_label,review_reason,recommended_action
all_comparable_mcat_gpa_sources.csv,493,Charles R. Drew University of Medicine and Science,,,md_charles_r_drew_university_of_medicine_and_science_college_of_medicine_los_angele,Charles R. Drew University of Medicine and Science College of Medicine,0.913,md_roseman_university_college_of_medicine_las_vegas_nevada,Roseman University College of Medicine,0.753,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,494,University of Chicago,,,md_university_of_michigan_medical_school_ann_arbor_michigan,University of Michigan Medical School,0.654,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.612,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,495,University of Cincinnati,,,md_university_of_cincinnati_college_of_medicine_cincinnati_ohio,University of Cincinnati College of Medicine,0.712,md_tufts_university_school_of_medicine_boston_massachusetts,Tufts University School of Medicine,0.604,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,496,Cleveland Clinic Lerner,,,md_penn_state_college_of_medicine_hershey_pennsylvania,Penn State College of Medicine,0.48,md_mayo_clinic_alix_school_of_medicine_rochester_minnesota,Mayo Clinic Alix School of Medicine,0.473,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,497,University of Colorado,,,md_university_of_colorado_school_of_medicine_denver_colorado,University of Colorado School of Medicine,0.704,md_university_of_florida_college_of_medicine_gainesville_florida,University of Florida College of Medicine,0.667,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,498,Columbia University,,,md_roseman_university_college_of_medicine_las_vegas_nevada,Roseman University College of Medicine,0.63,md_university_of_kentucky_college_of_medicine_lexington_kentucky,University of Kentucky College of Medicine,0.618,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,499,University of Connecticut,,,md_university_of_connecticut_school_of_medicine_farmington_connecticut,University of Connecticut School of Medicine,0.733,md_tufts_university_school_of_medicine_boston_massachusetts,Tufts University School of Medicine,0.667,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,500,Rowan University,,,md_howard_university_college_of_medicine_washington_district_of_columbia,Howard University College of Medicine,0.6,md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,0.593,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,501,Cornell University,,,md_university_of_colorado_school_of_medicine_denver_colorado,University of Colorado School of Medicine,0.642,md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,0.64,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,502,Creighton University,,,md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,0.714,md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,0.621,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,503,Dartmouth College,,,do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,0.549,do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,0.538,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,504,Des Moines University,,,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.731,md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,0.679,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,505,Drexel University,,,md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,0.667,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.625,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,506,Duke University,,,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.652,md_tulane_university_school_of_medicine_new_orleans_louisiana,Tulane University School of Medicine,0.583,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,507,Duquesne University,,,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.64,md_tulane_university_school_of_medicine_new_orleans_louisiana,Tulane University School of Medicine,0.577,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,508,East Carolina University,,,md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,0.686,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.677,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,509,East Tennessee State University,,,md_east_tennessee_state_university_james_h_quillen_college_of_medicine_johnson_city,East Tennessee State University James H. Quillen College of Medicine,0.653,md_university_of_tennessee_health_science_center_college_of_medicine_memphis_tennes,University of Tennessee Health Science Center College of Medicine,0.6,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,510,Eastern Virginia Medical School,,,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.725,md_eastern_virginia_medical_school_at_old_dominion_university_norfolk_virginia,Eastern Virginia Medical School at Old Dominion University,0.721,no_match,low_match_score,review candidate stats match
all_comparable_mcat_gpa_sources.csv,511,Edward Via College of Osteopathic Medicine (Auburn),,,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,0.918,do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,0.918,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,512,Edward Via College of Osteopathic Medicine (Carolinas),,,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,0.886,do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,0.886,review,ambiguous_match_gap,review candidate stats match
