school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,review_status,review_reason,evidence_text,recommended_action,last_checked,notes
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,http://ps.columbia.edu/education/admissions,Admissions | Vagelos College of Physicians and Surgeons,class_profile,ps.columbia.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,https://www.vagelos.columbia.edu/education/academic-programs/md-program/admissions/student-profiles,Student Profiles | Vagelos College of Physicians and Surgeons,class_profile,vagelos.columbia.edu,official_school_domain_family,0.95,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,MD,http://www.rowan.edu/coopermed/students/admissions/,Cooper Medical School of Rowan University,admissions_page,rowan.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,https://medschool.creighton.edu/medicine/programs/medicine-md/class-profile,Class Profile,class_profile,medschool.creighton.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,https://medschool.creighton.edu/program/Medicine-MD,Medicine MD,class_profile,medschool.creighton.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_dell_medical_school_university_of_texas_at_austin_austin_texas,Dell Medical School – University of Texas at Austin,MD,https://dellmed.utexas.edu/prospective-students,Undergraduate Medical Education,annual_report,dellmed.utexas.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,MD,http://drexel.edu/medicine/academics/md-program/md-program-admissions/,MD Program Admissions - Drexel University College of Medicine,annual_report,drexel.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/about-us/facts-figures,Facts & Figures | Duke University School of Medicine,annual_report,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/education/health-professions-education-programs/doctor-medicine-md-program/admissions/admissions-5,2025 MD Admissions Statistics | Duke University School of Medicine,class_profile,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/education/student-services/office-admissions,Office of MD Admissions | Duke University School of Medicine,annual_report,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found. Fetched official domain seed in less conservative mode.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/newsroom/magazines-and-annual-reports,Magazines and Annual Reports | Duke University School of Medicine,annual_report,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_east_tennessee_state_university_james_h_quillen_college_of_medicine_johnson_city,East Tennessee State University James H. Quillen College of Medicine,MD,http://www.etsu.edu/com/sa/admissions/,East Tennessee State University Quillen College of Medicine,admissions_page,etsu.edu,official_school_domain,1.00,fetch_failed_url_error,fetch_failed_url_error,needs_review,fetch_failed_url_error,,Review source manually.,2026-06-08,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1016)
