source_table,source_row_number,source_school_name,source_state,school_id,school_name,match_score,second_match_score,review_reason,recommended_action,notes
school_master.csv,,,FL,do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,CA,do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NC,do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,IA,do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,PA,do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,Duquesne University Nasuti College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NY,do_dyu_com_d_youville_university_college_of_osteopathic_medicine_buffalo_new_york,D’Youville University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AL,do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,SC,do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,Edward Via College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,VA,do_vcom_virginia_edward_via_college_of_osteopathic_medicine_blacksburg_virginia,Edward Via College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,LA,do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,ID,do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
